Gene,Drug,Interaction Score,Interaction Type
HIPK2,PF-562271,0.03021053157342912,Unknown
HIPK2,ENTRECTINIB,0.05724100719176045,Unknown
HIPK2,GSK-269962A,0.0741531229529624,Unknown
HIPK2,VADIMEZAN,1.087579136643448,Unknown
HIPK2,SORAFENIB,0.02837162965156822,Unknown
HIPK2,PI-103,0.1717230215752813,Unknown
HIPK2,CENISERTIB,0.02765031703330801,Unknown
SCN4B,ZONISAMIDE,2.088151942355421,Unknown
NAIP,LCL161,3.728842754206109,inhibitor (INHIBITORY)
NAIP,BIRINAPANT,3.262737409930345,inhibitor (INHIBITORY)
CD44,ODEVIXIBAT,0.4579280575340836,inhibitor (INHIBITORY)
CD44,ELOBIXIBAT,1.37378417260225,inhibitor (INHIBITORY)
CD44,[3H]TAUROCHOLIC ACID,1.37378417260225,Unknown
CD44,DOCETAXEL ANHYDROUS,0.03310323307475303,Unknown
CD44,BIVATUZUMAB MERTANSINE,0.1717230215752813,binder (None)
CD44,GAMMA-INTERFERON,0.6105707433787781,Unknown
CD44,GP-120 ANTIGEN,0.4227028223391541,Unknown
CD44,MARALIXIBAT,0.9158561150681672,inhibitor (INHIBITORY)
CD44,SC-435,2.747568345204501,inhibitor (INHIBITORY)
CD44,MOMETASONE,0.6105707433787781,Unknown
CD44,RECOMBINANT TUMOR NECROSIS FACTOR FAMILY PROTEIN,0.3663424460272669,Unknown
CD44,264W94,1.37378417260225,inhibitor (INHIBITORY)
CD44,PF-03475952,2.747568345204501,inhibitor (INHIBITORY)
CD44,HYALURONIC ACID,0.9158561150681672,Unknown
CD44,ACETAMINOPHEN,0.1056757055847885,Unknown
CD44,MPA,0.5495136690409004,Unknown
CD44,BIVATUZUMAB,2.747568345204501,binder (None)
CD44,GENTAMICIN,0.2389189865395219,Unknown
CD44,CISPLATIN,0.01869094112384015,Unknown
MACROD2,HYDROCODONE,3.262737409930345,Unknown
MACROD2,OXYCODONE,4.015676812221964,Unknown
FABP3,BI-2536,3.728842754206109,inhibitor (INHIBITORY)
FABP3,ONVANSERTIB,4.350316546573794,inhibitor (INHIBITORY)
ANKS1B,AMISULPRIDE,1.003919203055491,Unknown
ANKS1B,METHAMPHETAMINE,1.087579136643448,Unknown
ANKS1B,DEHYDRATED ALCOHOL,0.3304037883473767,Unknown
ANKS1B,HEROIN,3.262737409930345,Unknown
MAP2K3,BINIMETINIB,0.2900211031049196,inhibitor (INHIBITORY)
MAP2K3,ROSIGLITAZONE,0.5273110965543993,Unknown
MAP2K3,SELUMETINIB,0.1757703655181331,inhibitor (INHIBITORY)
MAP2K3,DABRAFENIB,0.2148304467443849,inhibitor (INHIBITORY)
MAP2K3,TRAMETINIB DIMETHYL SULFOXIDE,0.1234132353637955,inhibitor (INHIBITORY)
MAP2K3,COBIMETINIB,0.3052853716893891,inhibitor (INHIBITORY)
MAP2K3,REFAMETINIB,0.5273110965543993,inhibitor (INHIBITORY)
MAP2K3,WX-554,0.8286317231569132,Unknown
MAP2K3,MIRDAMETINIB,0.8286317231569132,inhibitor (INHIBITORY)
NRXN1,NICOTINE POLACRILEX,1.134865186062729,Unknown
NRXN1,DULOXETINE HYDROCHLORIDE,2.007838406110982,Unknown
GAB1,A1120,52.20379855888553,inhibitor (INHIBITORY)
GLRB,HALOTHANE,0.1450105515524598,positive modulator (ACTIVATING)
GLRB,NURULIMAB,5.220379855888553,antibody (INHIBITORY)
GLRB,METHOXYFLURANE,0.2372899934494797,agonist (ACTIVATING)
GLRB,ENFLURANE,0.1683993501899533,positive modulator (ACTIVATING)
GLRB,DESFLURANE,0.1740126618629517,positive modulator (ACTIVATING)
GLRB,ISOFLURANE,0.1683993501899533,positive modulator (ACTIVATING)
GLRB,IPILIMUMAB,0.3480253237259035,antibody (INHIBITORY)
GLRB,TREMELIMUMAB,0.745768550841222,antibody (INHIBITORY)
GLRB,SEVOFLURANE,0.1410913474564473,positive modulator (ACTIVATING)
GLRB,CADONILIMAB,2.610189927944276,antibody (INHIBITORY)
THRB,METHYL PARATHIONE,0.1279504866639351,Unknown
THRB,DIENOCHLOR,0.1279504866639351,Unknown
THRB,AXITIROME,1.02360389331148,Unknown
THRB,3-METHYLCHOLANTHRENE,0.1279504866639351,Unknown
THRB,CHEMBL:CHEMBL577415,0.5118019466557404,Unknown
THRB,DYCLONINE HYDROCHLORIDE,0.03198762166598377,Unknown
THRB,LEVOTHYROXINE,0.1599381083299189,agonist (ACTIVATING)
THRB,ORTHO-PHTHALALDEHYDE,0.08530032444262341,Unknown
THRB,QUINALIZARIN,0.03412012977704937,Unknown
THRB,CHEMBL:CHEMBL297304,0.03412012977704937,Unknown
THRB,CHEMBL:CHEMBL1493528,0.05686688296174894,Unknown
THRB,RESMETIROM,1.02360389331148,agonist (ACTIVATING)
THRB,CLOSANTEL,0.04652744969597641,Unknown
THRB,IDARUBICIN,0.01066254055532792,Unknown
THRB,FUMARPROTOCETRARIC ACID,0.0426501622213117,Unknown
THRB,DIPYRIDAMOLE,0.009139320475995366,Unknown
THRB,CHEMBL:CHEMBL1341830,0.05118019466557404,Unknown
THRB,CARUBICIN,0.05686688296174894,Unknown
THRB,ALBUTEROL SULFATE,0.07873876102396007,Unknown
THRB,PRIMAQUINE,0.04652744969597641,Unknown
THRB,DEXTROTHYROXINE SODIUM,0.5118019466557404,agonist (ACTIVATING)
THRB,SOBETIROME,0.5118019466557404,agonist (ACTIVATING)
THRB,METHYLENE BLUE ANHYDROUS,0.01383248504474974,Unknown
THRB,HEXACHLOROPHENE,0.01248297430867659,Unknown
THRB,CHEMBL:CHEMBL1465049,0.03655728190398146,Unknown
THRB,COMPOUND 16G [PMID: 35507418],0.5118019466557404,agonist (ACTIVATING)
THRB,CHLOROTHALONIL,0.0426501622213117,Unknown
THRB,SLAZINIC ACID,0.02437152126932097,Unknown
THRB,TRIAMTERENE,0.02843344148087447,Unknown
THRB,CHEMBL:CHEMBL601952,0.05686688296174894,Unknown
THRB,CHEMBL:CHEMBL578741,0.02437152126932097,Unknown
THRB,CIRAZOLINE,0.102360389331148,Unknown
THRB,CHEMBL:CHEMBL581044,0.05686688296174894,Unknown
THRB,DAUNORUBICIN HYDROCHLORIDE,0.0155091498986588,Unknown
THRB,RT3,0.08530032444262341,agonist (ACTIVATING)
THRB,CHEMBL:CHEMBL592124,0.0165097402147013,Unknown
THRB,VK-2809,0.5118019466557404,agonist (ACTIVATING)
THRB,CHEMBL:CHEMBL602969,0.0426501622213117,Unknown
THRB,EPROTIROME,1.02360389331148,agonist (ACTIVATING)
THRB,TOLONIUM CHLORIDE,0.02843344148087447,Unknown
THRB,ROSMARINIC ACID,0.06397524333196755,Unknown
THRB,METHYLENE BLUE,0.05686688296174894,Unknown
THRB,PICEATANNOL,0.02437152126932097,Unknown
THRB,DEPHOSTATIN,0.02047207786622961,Unknown
THRB,"AMMONIA SOLUTION, STRONG",1.02360389331148,Unknown
THRB,KB-141,0.2559009733278702,agonist (ACTIVATING)
THRB,OXYTETRACYCLINE ANHYDROUS,0.02559009733278702,Unknown
THRB,ISOTRETINOIN,0.03198762166598377,Unknown
THRB,QUINPIROLE,0.0426501622213117,Unknown
THRB,HOMIDIUM BROMIDE,0.01764834298812898,Unknown
THRB,HYPERICIN,0.03936938051198004,Unknown
THRB,LIOTHYRONINE SODIUM,0.05118019466557404,agonist (ACTIVATING)
THRB,ZIRAM,0.03936938051198004,Unknown
THRB,DOXORUBICIN HYDROCHLORIDE,0.003458121261187435,Unknown
THRB,SHIKONIN,0.05118019466557404,Unknown
THRB,CHEMBL:CHEMBL429095,0.0102360389331148,Unknown
THRB,WEDELOLACTONE,0.04652744969597641,Unknown
THRB,PYRACLOSTROBIN,0.102360389331148,Unknown
THRB,ACID BLUE 129,0.02693694456082844,Unknown
THRB,HOMIDIUM,0.06397524333196755,Unknown
THRB,QUININE,0.03936938051198004,Unknown
THRB,METHACYCLINE HYDROCHLORIDE,0.03655728190398146,Unknown
THRB,4-METHOXYCINNAMIC ACID,0.5118019466557404,Unknown
THRB,GENTIAN VIOLET CATION,0.02693694456082844,Unknown
THRB,SPIRONOLACTONE,0.03198762166598377,Unknown
THRB,WORTMANNIN,0.01827864095199073,Unknown
THRB,TETRAIDOFLUORESCEIN,0.05686688296174894,Unknown
THRB,BENZO(K)FLUORANTHENE,0.05118019466557404,Unknown
THRB,PROTOPORPHYRIN,0.02047207786622961,Unknown
THRB,AZORUBINE,0.5118019466557404,Unknown
THRB,DAUNORUBICIN LIPOSOMAL,0.005624197215997147,Unknown
THRB,CHEMBL:CHEMBL87568,0.2559009733278702,Unknown
THRB,CHEMBL:CHEMBL211670,0.03936938051198004,Unknown
THRB,CHEMBL:CHEMBL584508,0.5118019466557404,Unknown
THRB,ANAZOLENE,0.102360389331148,Unknown
THRB,OXIDOPAMINE,0.02559009733278702,Unknown
THRB,INAMRINONE,0.02693694456082844,Unknown
THRB,TIRATRICOL,0.1706006488852468,agonist (ACTIVATING)
THRB,CHEMBL:CHEMBL533293,0.04652744969597641,Unknown
THRB,DACTINOMYCIN,0.01462291276159258,Unknown
THRB,JUGLONE,0.02559009733278702,Unknown
THRB,BAICALEIN,0.02047207786622961,Unknown
THRB,DEXTROTHYROXINE,0.2559009733278702,agonist (ACTIVATING)
THRB,CHEMBL:CHEMBL1397308,0.102360389331148,Unknown
THRB,"DIBENZ[A,H]ANTHRACENE",0.102360389331148,Unknown
THRB,OXYCARBOXIN,0.1279504866639351,Unknown
THRB,CHEMBL:CHEMBL603024,0.2559009733278702,Unknown
THRB,CHEMBL:CHEMBL426404,0.2559009733278702,Unknown
THRB,MB07811,1.02360389331148,agonist (ACTIVATING)
THRB,NH-3,0.2559009733278702,inhibitor (INHIBITORY)
THRB,GOSSYPOL,0.01066254055532792,Unknown
THRB,M-CHLOROPHENYLPIPERAZINE,0.06397524333196755,Unknown
THRB,OCHRATOXIN A,0.05686688296174894,Unknown
THRB,QUINALDINE BLUE,0.1706006488852468,Unknown
THRB,RHAMNETIN,0.05118019466557404,Unknown
THRB,ERYTHROSINE,0.05686688296174894,Unknown
THRB,LIOTHYRONINE,0.06203659959463521,agonist (ACTIVATING)
THRB,LOMOFUNGIN,0.03412012977704937,Unknown
THRB,BENZO[B]FLUORANTHENE,0.07311456380796293,Unknown
THRB,ROSE BENGAL,0.07311456380796293,Unknown
THRB,CHEMBL:CHEMBL1451216,0.03010599686210238,Unknown
THRB,DITHIAZANINE IODIDE,0.03936938051198004,Unknown
FGF13,COMPOUND 2C [PMID: 24900538],5.220379855888553,inhibitor (INHIBITORY)
SLC11A1,COBALT,9.491599737979188,Unknown
SLC2A3,GLUFOSFAMIDE,1.305094963972138,Unknown
SLC2A3,[3H]2-DEOXYGLUCOSE,2.610189927944276,Unknown
SLC2A3,"INSULIN, REGULAR, HUMAN",0.3939909325198908,Unknown
SLC2A3,RESVERATROL,0.4261534576235553,Unknown
SLC2A3,RECOMBINANT CYTOKINE,0.8031353624443929,Unknown
YWHAG,DAUNORUBICIN HYDROCHLORIDE,0.790966644831599,Unknown
YWHAG,DOXORUBICIN HYDROCHLORIDE,0.1763641843205592,Unknown
NPTX2,ZINPENTRAXIN ALFA,52.20379855888553,Unknown
GDI1,PF-9363,5.220379855888553,inhibitor (INHIBITORY)
GDI1,MG149,13.05094963972138,inhibitor (INHIBITORY)
CD200,SAMALIZUMAB,156.6113956766566,inhibitor (INHIBITORY)
ACSL3,CONTELTINIB,6.525474819860691,inhibitor (INHIBITORY)
ACSL3,PF-562271,0.1208421262937165,inhibitor (INHIBITORY)
ACSL3,NVP-TAE 226,1.864421377103054,inhibitor (INHIBITORY)
ACSL3,ALOISINE,4.350316546573794,inhibitor (INHIBITORY)
JAK2,TYRPHOSTIN 23,0.02536627723949734,Unknown
JAK2,AZD1480,0.2663459110147221,inhibitor (INHIBITORY)
JAK2,PF-562271,0.004932331685457817,Unknown
JAK2,JAK2V617F INHIBITOR INCB160058,0.5326918220294442,Unknown
JAK2,PEMBROLIZUMAB,0.06456870570053869,Unknown
JAK2,TOFACITINIB,0.19024707929623,inhibitor (INHIBITORY)
JAK2,RUXOLITINIB,1.664661943842013,inhibitor (INHIBITORY)
JAK2,FEDRATINIB,0.6848894854664284,inhibitor (INHIBITORY)
JAK2,TENALISIB,0.07609883171849204,Unknown
JAK2,FILGOTINIB,0.1183759604509876,inhibitor (INHIBITORY)
JAK2,PACRITINIB,0.2663459110147221,inhibitor (INHIBITORY)
JAK2,BARICITINIB,0.09685305855080804,inhibitor (INHIBITORY)
JAK2,NS-018,0.5326918220294442,inhibitor (INHIBITORY)
JAK2,TANESPIMYCIN,0.08195258800452988,Unknown
JAK2,AZD1208,0.1775639406764814,Unknown
JAK2,PICTILISIB,0.03228435285026934,Unknown
JAK2,DOVITINIB,0.005274176455737071,Unknown
JAK2,AZ960,0.7990377330441664,Unknown
JAK2,GANDOTINIB,0.7102557627059256,inhibitor (INHIBITORY)
JAK2,PEGINTERFERON ALFA-2B,0.01664661943842013,Unknown
JAK2,LUMINESPIB,0.1775639406764814,Unknown
JAK2,ROPEGINTERFERON ALFA-2B,0.133172955507361,Unknown
JAK2,MOMELOTINIB,0.2458577640135896,inhibitor (INHIBITORY)
JAK2,AZD-1480,0.1775639406764814,inhibitor (INHIBITORY)
JAK2,NEZULCITINIB,0.07609883171849204,inhibitor (INHIBITORY)
JAK2,TYRPHOSTIN AG 555,0.02803641168576022,Unknown
JAK2,GELDANAMYCIN,0.07102557627059257,Unknown
JAK2,CHEMBL:CHEMBL546797,0.01664661943842013,Unknown
JAK2,ERLOTINIB,0.009512353964811504,Unknown
JAK2,BINIMETINIB,0.05326918220294442,Unknown
JAK2,PD-0166285,0.01024407350056623,Unknown
JAK2,SGI-1776,0.1775639406764814,Unknown
JAK2,XL-019,0.5326918220294442,inhibitor (INHIBITORY)
JAK2,THIRAM,0.02316051400128018,Unknown
JAK2,RIBOCICLIB,0.0591879802254938,Unknown
JAK2,ALFENTANIL HYDROCHLORIDE,0.2663459110147221,Unknown
JAK2,CHEMBL:CHEMBL29197,0.06658647775368053,Unknown
JAK2,CEP-11981,0.05073255447899468,Unknown
JAK2,DACTOLISIB,0.02219549258456017,Unknown
JAK2,AT-9283,0.04439098516912035,inhibitor (INHIBITORY)
JAK2,AC430,0.2663459110147221,Unknown
JAK2,FLONOLTINIB MALEATE,0.5326918220294442,Unknown
JAK2,AT9283,0.09685305855080804,inhibitor (INHIBITORY)
JAK2,UZANSERTIB,0.2130767288117777,Unknown
JAK2,CHEMBL:CHEMBL379975,0.012106632318851,Unknown
JAK2,PACRITINIB CITRATE,0.2663459110147221,inhibitor (INHIBITORY)
JAK2,ILGINATINIB,0.5326918220294442,Unknown
JAK2,ADAVOSERTIB,0.01902470792962301,Unknown
JAK2,GILTERITINIB,0.0591879802254938,Unknown
JAK2,CT-1578,0.133172955507361,inhibitor (INHIBITORY)
JAK2,ILORASERTIB,0.004592170879564174,Unknown
JAK2,RITUXIMAB,0.0591879802254938,Unknown
JAK2,AST-487,0.01299248346413278,Unknown
JAK2,ENTRECTINIB,0.009345470561920075,Unknown
JAK2,DASATINIB ANHYDROUS,0.007009102921440055,Unknown
JAK2,TRIAMTERENE,0.0295939901127469,Unknown
JAK2,A-1155463,1.065383644058888,Unknown
JAK2,XL019,0.5326918220294442,Unknown
JAK2,CENISERTIB,0.004514337474825799,Unknown
JAK2,IMATINIB,0.01479699505637345,Unknown
JAK2,NVP-TAE684,0.005171765262421788,Unknown
JAK2,ZSTK474,0.09685305855080804,Unknown
JAK2,ENMD-2076,0.01718360716224013,Unknown
JAK2,AC-430,0.5326918220294442,inhibitor (INHIBITORY)
JAK2,6-AZAURIDINE,0.1065383644058888,Unknown
JAK2,PACLITAXEL,0.009685305855080805,Unknown
JAK2,TGX-221,0.1775639406764814,Unknown
JAK2,ZOTIRACICLIB,0.0887819703382407,inhibitor (INHIBITORY)
JAK2,LS-104,0.5326918220294442,inhibitor (INHIBITORY)
JAK2,JAK3 INHIBITOR II,0.1065383644058888,Unknown
JAK2,AG 490,0.06658647775368053,Unknown
JAK2,RUXOLITINIB PHOSPHATE,0.2663459110147221,inhibitor (INHIBITORY)
JAK2,PIM KINASE INHIBITOR LGH447,0.5326918220294442,Unknown
JAK2,CRIZOTINIB,0.04261534576235553,Unknown
JAK2,IZENCITINIB,0.06658647775368053,inhibitor (INHIBITORY)
JAK2,LESTAURTINIB,0.2219549258456017,inhibitor (INHIBITORY)
JAK2,BMS-911543,1.598075466088332,inhibitor (INHIBITORY)
JAK2,CHEMBL:CHEMBL1170485,0.0887819703382407,Unknown
JAK2,FEDRATINIB HYDROCHLORIDE,0.2663459110147221,inhibitor (INHIBITORY)
JAK2,TOZASERTIB,0.007297148246978688,Unknown
JAK2,GW843682X,0.01365876466742164,Unknown
JAK2,JNJ-7706621,0.009685305855080805,Unknown
JAK2,FILGOTINIB MALEATE,0.133172955507361,inhibitor (INHIBITORY)
JAK2,G&OUML; 6976,0.2663459110147221,Unknown
JAK2,SIROLIMUS,0.009184341759128347,Unknown
JAK2,PEFICITINIB,0.06658647775368053,inhibitor (INHIBITORY)
JAK2,HYDROXYUREA,0.05073255447899468,Unknown
JAK2,CHEMBL:CHEMBL1997335,0.01268313861974867,Unknown
JAK2,UPADACITINIB HEMIHYDRATE,0.133172955507361,inhibitor (INHIBITORY)
JAK2,LAUROGUADINE,0.01902470792962301,Unknown
JAK2,GUSACITINIB,0.1065383644058888,inhibitor (INHIBITORY)
JAK2,RG-1530,0.005666934276908981,Unknown
JAK2,MIDOSTAURIN,0.03043953268739681,Unknown
JAK2,OLAPARIB,0.02316051400128018,Unknown
JAK2,DELGOCITINIB,0.07609883171849204,inhibitor (INHIBITORY)
JAK2,BOMEDEMSTAT,0.2663459110147221,Unknown
JAK2,CYC-116,0.005491668268344785,Unknown
JAK2,AG 1296,0.1775639406764814,Unknown
GABRA2,METHARBITAL,0.08511488895470466,positive modulator (ACTIVATING)
GABRA2,OCINAPLON,0.02579239059233475,Unknown
GABRA2,THIOPENTAL,0.103169562369339,Unknown
GABRA2,DIAZEPAM,0.05869992341703769,positive modulator (ACTIVATING)
GABRA2,PENTOBARBITAL SODIUM,0.08511488895470466,positive modulator (ACTIVATING)
GABRA2,FLUDIAZEPAM,0.06675677565074875,Unknown
GABRA2,ADINAZOLAM,0.06675677565074875,Unknown
GABRA2,ADIPIPLON,0.03546453706446027,agonist (ACTIVATING)
GABRA2,TOPIRAMATE,0.01289619529616737,positive modulator (ACTIVATING)
GABRA2,CLORAZEPATE DIPOTASSIUM,0.03546453706446027,positive modulator (ACTIVATING)
GABRA2,ENFLURANE,0.01830427719456014,positive modulator (ACTIVATING)
GABRA2,FLUNITRAZEPAM,0.07737717177700425,positive modulator (ACTIVATING)
GABRA2,ADIPIPLON,0.02986487331744023,Unknown
GABRA2,ETOMIDATE,0.1001351634761231,positive modulator (ACTIVATING)
GABRA2,BUTOBARBITAL,0.1134865186062728,Unknown
GABRA2,CLONAZEPAM,0.06809191116376372,positive modulator (ACTIVATING)
GABRA2,ESZOPICLONE,0.06304806589237383,positive modulator (ACTIVATING)
GABRA2,PHENOBARBITAL,0.02986487331744023,Unknown
GABRA2,MEPROBAMATE,0.09457209883856074,agonist (ACTIVATING)
GABRA2,PRIMIDONE,0.04863707940268838,positive modulator (ACTIVATING)
GABRA2,ETIFOXINE,0.03546453706446027,inhibitor (INHIBITORY)
GABRA2,FLURAZEPAM,0.05404119933632041,Unknown
GABRA2,TEMAZEPAM,0.07737717177700425,positive modulator (ACTIVATING)
GABRA2,ALPRAZOLAM,0.05006758173806156,positive modulator (ACTIVATING)
GABRA2,OXAZEPAM,0.06547299150361897,positive modulator (ACTIVATING)
GABRA2,SECOBARBITAL,0.1134865186062728,Unknown
GABRA2,LORAZEPAM,0.06809191116376372,positive modulator (ACTIVATING)
GABRA2,PRAZEPAM,0.07737717177700425,positive modulator (ACTIVATING)
GABRA2,HALOTHANE,0.01576201647309345,positive modulator (ACTIVATING)
GABRA2,FLUMAZENIL,0.09457209883856074,negative modulator (INHIBITORY)
GABRA2,BUTABARBITAL SODIUM,0.03546453706446027,positive modulator (ACTIVATING)
GABRA2,ABP-700,0.03546453706446027,agonist (ACTIVATING)
GABRA2,GANAXOLONE,0.06304806589237383,positive modulator (ACTIVATING)
GABRA2,SECOBARBITAL SODIUM,0.03546453706446027,positive modulator (ACTIVATING)
GABRA2,HEXOBARBITAL,0.1134865186062728,Unknown
GABRA2,ZOPICLONE,0.1702297779094093,positive modulator (ACTIVATING)
GABRA2,DARIGABAT,0.03546453706446027,agonist (ACTIVATING)
GABRA2,COCAINE,0.0872973220048253,Unknown
GABRA2,MEPHOBARBITAL,0.09457209883856074,Unknown
GABRA2,TALBUTAL,0.08511488895470466,positive modulator (ACTIVATING)
GABRA2,ACAMPROSATE CALCIUM,0.02269730372125457,positive modulator (ACTIVATING)
GABRA2,SEVOFLURANE,0.04600804808362414,positive modulator (ACTIVATING)
GABRA2,PAGOCLONE,0.07092907412892055,positive modulator (ACTIVATING)
GABRA2,CHLORDIAZEPOXIDE,0.08106179900448063,positive modulator (ACTIVATING)
GABRA2,CLOBAZAM,0.07737717177700425,positive modulator (ACTIVATING)
GABRA2,NITRAZEPAM,0.05404119933632041,Unknown
GABRA2,FLURAZEPAM HYDROCHLORIDE,0.03546453706446027,positive modulator (ACTIVATING)
GABRA2,IMEPITOIN,0.03546453706446027,agonist (ACTIVATING)
GABRA2,EVT 201,0.02986487331744023,Unknown
GABRA2,TRICLOFOS SODIUM,0.03546453706446027,positive modulator (ACTIVATING)
GABRA2,TETRAZEPAM,0.03546453706446027,positive modulator (ACTIVATING)
GABRA2,REMIMAZOLAM,0.02986487331744023,Unknown
GABRA2,REMIMAZOLAM BESYLATE,0.03546453706446027,positive modulator (ACTIVATING)
GABRA2,METHYPRYLON,0.03546453706446027,positive modulator (ACTIVATING)
GABRA2,CENOBAMATE,0.02026544975112016,positive modulator (ACTIVATING)
GABRA2,CHLORDIAZEPOXIDE HYDROCHLORIDE,0.03546453706446027,positive modulator (ACTIVATING)
GABRA2,PROPOFOL,0.05491283158368042,positive modulator (ACTIVATING)
GABRA2,METHAQUALONE HYDROCHLORIDE,0.03546453706446027,positive modulator (ACTIVATING)
GABRA2,[3H]AZIETOMIDATE,0.07092907412892055,Unknown
GABRA2,METHOXYFLURANE,0.02579239059233475,positive modulator (ACTIVATING)
GABRA2,CIPEPOFOL,0.03546453706446027,agonist (ACTIVATING)
GABRA2,ETAZOLATE,0.03546453706446027,Unknown
GABRA2,QUAZEPAM,0.08511488895470466,positive modulator (ACTIVATING)
GABRA2,BUTABARBITAL,0.1134865186062728,Unknown
GABRA2,PADSEVONIL,0.02986487331744023,agonist (ACTIVATING)
GABRA2,DESFLURANE,0.01891441976771215,positive modulator (ACTIVATING)
GABRA2,CINOLAZEPAM,0.06675677565074875,Unknown
GABRA2,ETHCHLORVYNOL,0.03546453706446027,positive modulator (ACTIVATING)
GABRA2,THIOPENTAL SODIUM,0.03337838782537437,positive modulator (ACTIVATING)
